Symbol	Type
AMZN	Stock
CMG	Stock
DLTR	Stock
DPZ	Stock
DXCM	Stock
FSK	MUTF?
HUBS	Stock
MAR	Stock
MASI	Stock
MSFT	Stock
MTCH	Stock
NICE	Stock
NVDA	Stock
NVTA	Stock
OKTA	Stock
OLLI	Stock
SHOP	Stock
TSCO	Stock
TTD	Stock
TWLO	Stock
ZNGA	Stock
GSY	Stock
QQQ	Stock
SHY	Stock
SPY	Stock
06746XLJ0	Bond
AGNC	Stock
AY	Stock
IRM	Stock
IVR	Stock
MIC	Stock
MNR	Stock
MPW	Stock
NLY	Stock
PRU	Stock
T	Stock
VZ	Stock
ARCC	Stock
BGR	Stock
FFC	Stock
HFRO	Stock
HPI	Stock
HQH	Stock
HQL	Stock
JPS	Stock
MORT	Stock
PCI	Stock
PTY	Stock
RQI	Stock
THW	Stock
FAGIX	MUTF
GLIFX	MUTF
PDBZX	MUTF?
GRIFX	REIT
TIPWX	REIT
USA	Stock
06747NYJ7	Bond
06747P6D6	Bond
09709TFX4	Bond
61771BBK9	Bond